hispanic,citizen,black,exp,wage,female,education
0,1,1,13.7,4.8076923,1,13
0,0,0,15.0,10.208333,1,16
0,0,0,13.0,6.2222222,1,16
1,0,0,10.0,8.75,1,12
1,0,0,11.0,5.7142857,1,10
0,1,0,15.0,11.057692,1,18
0,1,1,10.7,20.0,1,14
0,1,0,13.0,12.160507,1,18
0,1,0,12.0,12.019231,1,12
0,1,0,15.0,32.204992,1,20
0,1,0,10.0,6.25,1,18
0,1,0,10.0,72.115385,1,16
0,1,0,15.0,13.636364,1,16
0,1,0,13.0,3.8461538,1,16
0,1,0,15.0,11.057692,1,16
1,0,0,11.7,8.3333333,1,14
0,1,0,15.0,13.461538,1,12
1,0,0,12.0,10.833333,1,0
0,1,0,12.47,10.216346,1,11
0,1,0,13.0,3.1746032,1,0
1,0,0,10.7,7.6923077,1,13
0,1,1,10.7,10.576923,1,13
1,0,0,13.74,7.8125,1,7
1,1,0,12.0,3.5,1,9
1,0,0,13.74,5.625,1,7
0,1,0,12.0,28.846154,1,18
0,1,0,14.0,10.48951,1,16
0,1,0,12.0,23.846154,1,18
0,1,0,13.0,27.027027,1,18
0,1,0,11.0,10.384615,1,12
1,0,0,15.0,3.75,1,12
0,1,0,15.0,12.019231,1,11
0,1,0,11.0,9.6153846,1,16
0,1,0,15.0,9.0730769,1,12
1,0,0,10.74,6.9711538,1,7
1,0,0,15.0,8.1730769,1,10
1,1,0,10.0,6.7384615,1,12
0,1,0,10.0,9.4017094,1,16
1,1,0,12.7,24.038462,1,13
1,1,0,13.0,6.2659847,1,16
0,1,0,12.0,3.8461538,1,12
0,1,0,14.0,9.7336957,1,18
0,1,0,12.0,8.6956522,1,16
1,1,0,12.0,2.6041667,1,11
0,1,0,12.0,39.68254,1,16
0,1,0,10.0,17.5,1,18
0,1,0,13.0,10.096154,1,18
0,1,0,10.0,46.031746,1,11
1,0,0,10.0,3.9447732,1,9
1,1,0,13.0,6.5,1,14
0,1,0,14.7,14.102564,1,13
1,0,0,11.7,46.875,1,13
0,0,0,13.0,3.4092105,1,18
0,1,0,13.0,5.1125,1,9
0,0,0,14.0,16.666667,1,16
0,1,0,14.7,5.1102564,1,13
0,0,0,12.0,10.576923,1,12
1,1,0,11.0,10.576923,1,12
0,1,0,11.7,7.5,1,14
1,1,0,12.0,6.25,1,12
1,1,0,13.0,10.769231,1,14
0,1,0,12.0,26.041667,1,18
0,1,0,11.7,11.458333,1,13
1,0,0,10.0,4.5192308,1,9
0,1,0,13.0,1.8461538,1,16
1,1,0,10.7,3.8461538,1,13
0,1,0,11.0,17.5,1,18
0,1,0,10.0,16.483516,1,16
1,0,0,11.0,11.71875,1,18
0,1,0,14.0,5.8520833,1,16
0,1,0,12.0,3.8461538,1,16
0,1,0,12.0,10.096154,1,12
0,1,1,12.7,14.0,1,13
0,1,0,13.0,19.758173,1,18
0,1,0,14.0,12.5,1,12
1,1,0,11.0,7.6190476,1,9
0,1,0,11.0,11.67756,1,18
1,0,0,11.0,13.668696,1,9
0,1,0,11.0,12.980769,1,12
0,0,0,10.7,7.2115385,1,13
0,1,1,11.7,11.486486,1,13
0,1,0,11.0,14.746869,1,18
1,0,0,13.74,5.4945055,1,7
0,1,0,15.0,13.068182,1,18
0,1,0,12.0,21.153846,1,20
0,0,0,14.0,4.6666667,1,16
0,1,0,12.7,23.076923,1,13
0,1,0,13.0,25.907317,1,16
0,1,0,13.7,21.634615,1,13
0,0,0,11.7,18.452381,1,13
0,1,0,12.0,1.5933673,1,18
0,1,0,12.7,8.28125,1,13
1,1,0,10.7,5.2083333,1,13
0,1,0,12.7,7.5,1,13
0,0,0,11.0,7.6923077,1,12
0,1,0,11.0,8.6538462,1,11
1,1,0,11.0,3.125,1,11
1,1,0,10.0,8.6538462,1,12
1,1,0,12.0,17.307692,1,16
0,1,0,10.7,9.6153846,1,13
0,1,0,13.0,7.2115385,1,12
0,1,0,14.0,14.835165,1,18
1,0,0,10.7,4.2997543,1,13
0,1,1,12.0,4.8076923,1,12
0,1,0,11.0,9.375,1,11
0,1,1,13.7,10.926573,1,13
0,1,0,10.7,6.7307692,1,13
1,1,0,14.0,12.5,1,12
0,1,0,12.7,11.538462,1,13
0,1,1,13.7,3.5,1,13
0,1,0,10.0,13.888889,1,16
0,1,0,13.0,14.423077,1,16
0,1,0,14.0,5.5555556,1,12
0,1,0,13.7,9.6153846,1,13
0,1,0,13.0,15.35,1,16
0,1,0,14.0,12.019231,0,12
1,0,0,11.0,4.8611111,0,9
1,0,0,11.0,38.461538,0,9
1,0,0,13.0,93.998077,0,18
0,1,0,10.0,16.135185,0,16
0,1,0,15.0,9.6153846,0,16
1,1,0,12.47,6.4102564,0,11
0,1,0,10.0,4.7916667,0,12
0,0,0,13.0,8.8333333,0,16
0,1,0,15.0,30.769231,0,18
0,1,0,12.7,12.980769,0,13
0,1,0,12.0,14.903846,0,16
0,1,0,10.7,19.230769,0,14
1,0,0,10.0,1.7857143,0,10
0,1,0,13.0,19.607843,0,11
1,0,0,13.0,5.8,0,9
1,1,0,13.7,13.0,0,13
1,1,0,12.74,3.3653846,0,7
0,1,0,15.0,13.873558,0,16
1,0,0,12.0,16.826923,0,12
0,1,0,12.0,10.989011,0,18
0,1,0,10.7,7.0588235,0,14
1,1,0,10.7,13.461538,0,13
0,0,0,12.0,21.634615,0,16
0,0,0,10.7,14.423077,0,13
