personid,age,tenure,grosswage,children,bedroom,commute,men,married,volunteer,high_educ,WFHShare,calls
17752,25.0,45.0,3.5489633,no,yes,60.0,1.0,0.0,1.0,1.0,0.025252525,623.0
17800,27.0,45.0,3.5358,no,no,50.0,1.0,0.0,0.0,1.0,,
17812,28.0,45.0,4.70516,yes,yes,150.0,1.0,1.0,0.0,0.0,,
17906,27.0,45.0,2.5038145,no,yes,210.0,0.0,1.0,0.0,1.0,,
17908,27.0,45.0,3.1488588,yes,yes,105.0,1.0,1.0,0.0,1.0,,
17918,29.0,47.5,2.3846402,yes,no,80.0,0.0,1.0,0.0,1.0,,
17926,25.0,45.0,4.0380645,no,yes,20.0,0.0,0.0,0.0,1.0,,
18112,27.0,44.0,2.7862556,no,yes,120.0,0.0,0.0,1.0,1.0,0.66161615,481.0
18148,22.0,44.0,5.030441,no,no,40.0,0.0,0.0,0.0,0.0,,
18222,26.0,44.0,2.257831,no,no,40.0,0.0,0.0,0.0,1.0,,
18346,27.0,25.0,3.5644066,no,yes,220.0,0.0,0.0,1.0,1.0,0.82828283,623.0
18366,24.0,44.0,3.1403933,no,no,20.0,0.0,0.0,1.0,1.0,0.17171717,52.0
18380,27.0,44.0,3.22542,no,yes,90.0,1.0,1.0,1.0,1.0,0.21717171,562.0
18454,25.0,44.0,3.775181,no,yes,100.0,1.0,1.0,1.0,0.0,0.7323232,242.0
18476,23.0,44.0,3.4859512,no,yes,180.0,0.0,0.0,0.0,0.0,,
18494,31.0,44.0,3.2129254,no,yes,180.0,1.0,0.0,1.0,0.0,0.5252525,512.0
18502,26.0,44.0,2.3131669,no,yes,210.0,1.0,1.0,1.0,0.0,0.3939394,473.0
18634,23.0,43.0,3.4158845,no,yes,120.0,0.0,0.0,0.0,0.0,,
18650,25.0,43.0,3.3426323,no,yes,120.0,1.0,0.0,1.0,1.0,0.47474748,417.0
18656,27.0,43.0,2.5086868,no,yes,150.0,0.0,0.0,0.0,0.0,,
18776,22.0,43.0,4.1839623,no,yes,60.0,1.0,0.0,0.0,1.0,,
18786,27.0,43.0,2.2973602,no,yes,90.0,0.0,1.0,0.0,0.0,,
19012,27.0,43.0,1.8491844,yes,yes,90.0,0.0,1.0,0.0,0.0,,
19018,23.0,43.0,4.16654,no,no,120.0,0.0,0.0,0.0,0.0,,
19028,23.0,43.0,3.5295444,no,yes,120.0,0.0,0.0,0.0,0.0,,
19136,21.0,42.0,3.5800178,no,no,35.0,0.0,0.0,0.0,0.0,,
19140,23.0,42.0,3.1589513,no,yes,30.0,0.0,0.0,0.0,1.0,,
19142,21.0,42.0,3.548409,no,no,20.0,0.0,0.0,0.0,0.0,,
19144,20.0,42.0,3.8351867,no,yes,30.0,0.0,0.0,0.0,1.0,,
19146,21.0,42.0,3.3134155,no,yes,80.0,0.0,0.0,0.0,0.0,,
19186,20.0,42.0,3.446391,no,yes,90.0,0.0,0.0,1.0,0.0,0.66161615,289.0
19260,22.0,42.0,2.7414956,no,no,2.7,1.0,0.0,1.0,1.0,0.6262626,343.0
19266,22.0,42.0,4.070942,no,yes,65.0,1.0,0.0,0.0,0.0,,
19268,23.0,42.0,3.9852912,no,no,100.0,1.0,0.0,0.0,1.0,,
19296,25.0,42.0,3.8101943,no,no,105.0,1.0,1.0,0.0,0.0,,
19344,26.0,42.0,3.9038167,no,no,160.0,0.0,0.0,1.0,1.0,0.11111111,182.0
19470,25.0,42.0,3.5001233,no,yes,60.0,0.0,0.0,0.0,1.0,,
19482,23.0,42.0,2.7133322,no,yes,180.0,1.0,0.0,1.0,0.0,0.18686868,178.0
19544,25.0,25.0,3.3879843,no,no,90.0,0.0,0.0,1.0,1.0,0.7676768,636.0
19558,26.0,25.0,3.7050955,no,yes,40.0,0.0,0.0,1.0,1.0,0.18181819,261.0
19576,23.0,42.0,3.4961178,no,yes,70.0,1.0,0.0,1.0,1.0,0.41414142,306.0
19684,22.0,41.0,2.7337523,no,yes,180.0,0.0,0.0,1.0,1.0,0.16666667,204.0
19712,21.0,41.0,3.0223567,no,no,30.0,0.0,0.0,1.0,1.0,0.7323232,745.0
20260,23.0,39.0,4.672197,no,no,40.0,0.0,0.0,1.0,1.0,0.045454547,582.0
20356,24.0,39.0,3.134609,no,no,40.0,0.0,0.0,0.0,1.0,,
20386,26.0,39.0,2.953568,no,yes,70.0,0.0,1.0,0.0,1.0,,
20536,26.0,38.0,3.7286656,no,yes,60.0,0.0,0.0,1.0,1.0,0.1919192,72.0
20568,23.0,38.0,3.8858354,no,no,30.0,0.0,0.0,0.0,0.0,,
20708,21.0,38.0,3.0945213,no,no,60.0,1.0,0.0,0.0,0.0,,
20790,25.0,38.0,4.056359,no,no,40.0,0.0,0.0,1.0,1.0,0.9141414,771.0
