newid,age_ref,fam_size,no_earnr,region,totexppq,foodpq,hh_cu_q,fractearners,ratioover64,ratioless18,rationless2,urbn,northe,midw,west,raceb,racea,racena,racepi,racew,jfs_amt,r
2737003,52,3,2,3,9479.25,866.6667,1,0.6666667,0.0,0.33333334,0.0,1,0,0,0,0,0,0,0,1,0,0.012066523
2665445,43,1,1,3,24122.787,2426.6667,1,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.0121233985
2728583,87,1,0,2,3011.4668,706.6667,1,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0.012163718
2667135,52,1,1,4,14522.667,1950.0,1,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,1,2268,0.012459235
2776362,24,2,2,2,1690.25,368.3333,1,1.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0.012627435
2766192,79,1,0,3,4249.1333,780.0,1,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.012844788
2767632,65,1,1,4,18924.453,865.3333,2,1.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0,1,0,0.012923716
2674405,39,5,2,4,6268.5596,650.0,1,0.4,0.0,0.6,0.2,1,0,0,1,0,0,0,0,1,0,0.013125019
2664525,61,2,0,3,2497.1333,390.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.013206117
2778112,50,5,3,4,16805.643,952.6667,1,0.6,0.0,0.4,0.0,1,0,0,1,0,0,0,0,1,0,0.013242628
2659065,47,2,2,3,4146.1665,780.0,1,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0.013362408
2708574,43,1,1,4,3290.6667,528.6667,1,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,1,0,0.013512454
2670825,52,3,2,2,3285.143,693.3333,1,0.6666667,0.0,0.33333334,0.0,1,0,1,0,0,0,0,0,1,0,0.013549475
2707764,39,5,1,4,5998.6665,693.3333,1,0.2,0.0,0.6,0.0,1,0,0,1,0,0,0,0,1,2280,0.013601963
2739013,40,3,1,4,9039.0,1213.3333,1,0.33333334,0.0,0.33333334,0.0,1,0,0,1,0,0,0,0,1,0,0.013942203
2766722,37,1,1,1,5165.5,1033.3333,1,1.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,0,0.014103006
2693004,74,1,0,1,1915.8,364.0,1,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0.014131019
2696834,39,2,1,4,13717.133,1221.3333,1,0.5,0.0,0.0,0.0,1,0,0,1,0,0,0,0,1,0,0.014174302
2706064,65,3,2,1,3727.9165,476.6667,1,0.6666667,0.33333334,0.0,0.0,1,1,0,0,0,0,1,0,0,0,0.014758077
2767912,17,6,1,3,4928.0,650.0,1,0.16666667,0.16666667,0.5,0.16666667,1,0,0,0,0,0,0,0,1,0,0.014849583
2796022,34,1,1,4,6296.6665,1690.0,1,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,1,0,0.014945848
2727193,66,2,1,3,13501.033,1950.0,1,0.5,0.5,0.0,0.0,1,0,0,0,0,0,0,0,1,2268,0.016032986
2730703,74,1,1,4,5487.967,1646.6667,1,1.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0,1,0,0.016108047
2756402,42,1,1,3,6763.5,520.0,1,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,4080,0.0161325
2759472,27,1,1,2,17808.834,423.3333,1,1.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0.016146183
2705544,53,2,2,2,10330.36,741.0,1,1.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0.016208606
2759842,27,2,2,2,12317.0,823.3333,1,1.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0.016333584
2702884,41,4,1,3,1525.2334,346.6667,1,0.25,0.0,0.5,0.0,1,0,0,0,0,0,0,0,1,0,0.016409624
2748762,33,3,2,2,10800.351,2080.0,1,0.6666667,0.0,0.33333334,0.0,1,0,1,0,0,0,0,0,1,0,0.016897071
2669695,65,3,0,4,2798.8,910.0,1,0.0,0.6666667,0.0,0.0,1,0,0,1,0,0,0,0,1,0,0.017229646
2703724,80,1,0,1,1658.5667,252.6667,1,0.0,1.0,0.0,0.0,1,1,0,0,1,0,0,0,0,0,0.017331962
2702064,29,3,2,1,10543.033,1863.3333,1,0.6666667,0.0,0.33333334,0.33333334,1,1,0,0,0,0,0,0,1,0,0.017356124
2684324,49,2,2,2,37516.8,1775.0,1,1.0,0.0,0.5,0.0,1,0,1,0,0,0,0,0,1,0,0.017518029
2733743,65,2,1,3,12549.134,1633.3333,1,0.5,0.5,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.017537175
2700784,27,2,1,3,3980.3335,1040.0,1,0.5,0.0,0.5,0.0,1,0,0,0,0,0,0,0,1,0,0.0176634
2753432,68,2,0,3,5687.4,1300.0,1,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.017909057
2671175,61,1,0,4,2133.6667,216.6667,1,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,1,0,0.017945526
2695304,30,4,2,4,8771.867,1256.6667,1,0.5,0.0,0.5,0.0,1,0,0,1,0,0,0,0,1,2400,0.018177556
2685304,22,3,1,2,4468.0,1040.0,1,0.33333334,0.0,0.0,0.0,1,0,1,0,0,1,0,0,0,0,0.018325392
2733733,39,4,1,4,17123.166,1490.0,1,0.25,0.0,0.5,0.0,1,0,0,1,0,1,0,0,0,0,0.018642833
2695644,50,4,3,2,37443.94,2405.3333,1,0.75,0.0,0.25,0.0,1,0,1,0,0,0,0,0,0,0,0.018718882
2664615,24,3,2,2,9007.333,866.6667,1,0.6666667,0.0,0.33333334,0.33333334,1,0,1,0,0,0,0,0,1,0,0.018792456
2736103,65,2,0,1,8642.467,3025.6667,1,0.0,1.0,0.0,0.0,1,1,0,0,0,0,0,0,1,0,0.018800307
2735903,32,4,1,3,3299.4001,912.0,1,0.25,0.0,0.5,0.0,1,0,0,0,0,0,0,0,1,0,0.018949116
2689284,70,1,0,2,9163.2,1011.0,1,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0.01905617
2675905,37,3,2,4,1840.7167,433.3333,1,0.6666667,0.33333334,0.0,0.0,1,0,0,1,0,0,0,0,1,0,0.019091664
2697594,58,2,0,3,7966.6665,1765.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.019873947
2778942,66,2,1,2,2930.85,996.6667,1,0.5,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0.019960843
2695494,28,3,0,3,4732.6665,1260.6667,1,0.0,0.0,0.6666667,0.0,1,0,0,0,1,0,0,0,0,0,0.020110132
2690864,62,2,0,3,4721.7,1065.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.020373896
2680235,64,2,2,4,9489.81,2600.0,1,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,1,0,0.020505555
2680944,48,5,2,1,31506.2,3917.0,1,0.4,0.2,0.4,0.0,1,1,0,0,0,0,0,0,1,3600,0.020926038
2753072,61,2,2,3,27168.68,1755.0,1,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.020999478
2698044,77,3,1,3,5898.9336,1258.6667,1,0.33333334,0.6666667,0.33333334,0.0,1,0,0,0,0,0,0,0,1,0,0.021383332
2735073,62,2,1,2,8449.667,1040.0,1,0.5,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0.021525944
2714083,87,1,0,2,6075.7,260.0,1,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0.021531299
2700654,56,1,0,4,2223.4668,277.3333,1,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,1,0,0.02167955
2653055,49,1,1,2,15080.85,845.0,1,1.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0.021745455
2743133,87,1,0,1,1238.2333,173.3333,1,0.0,1.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0,0.02209156
2662445,59,2,2,2,13340.333,1346.6667,1,1.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0.02217237
2719323,43,3,2,4,17031.05,2242.0,1,0.6666667,0.0,0.33333334,0.0,1,0,0,1,0,0,0,0,1,0,0.022321096
2688884,56,3,3,1,20553.25,1220.0,1,1.0,0.0,0.33333334,0.0,1,1,0,0,0,0,0,0,1,4200,0.022612538
2742513,60,1,1,1,3500.5,251.3333,1,1.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,0,0.02272692
2687804,75,3,0,3,5823.7,780.0,1,0.0,0.33333334,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.022921013
2758112,30,3,2,2,16635.75,2795.0,1,0.6666667,0.0,0.33333334,0.33333334,1,0,1,0,0,0,0,0,1,0,0.023051769
2675895,48,4,2,4,7968.6665,2080.0,1,0.5,0.0,0.5,0.0,1,0,0,1,0,0,0,0,1,0,0.023076633
2734363,81,1,0,3,5630.467,1083.3333,1,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.023130897
2667185,60,2,2,1,6932.5,1629.3333,1,1.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,0,0.023396615
2675295,87,1,0,4,9180.566,1733.3333,1,0.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0,1,0,0.023706667
2748272,60,1,0,3,11862.0,1148.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.024285952
2704034,60,1,0,3,670.0,303.3333,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0.024375174
2706214,50,1,1,3,4406.8335,325.0,1,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.024416897
2728745,20,1,1,4,2513.3333,563.3333,1,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,1,0,0.024489025
2759102,71,1,0,3,4867.1333,1300.0,1,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.02479069
2672655,74,1,0,2,1495.9,238.3333,1,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0.025019117
2674895,87,1,0,2,4454.3335,173.3333,1,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0.02510682
2675705,40,3,2,3,3827.6833,535.0,1,0.6666667,0.0,0.33333334,0.0,1,0,0,0,0,0,0,0,1,0,0.02567114
2721343,63,3,3,2,22610.15,2545.0,1,1.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0.025828347
2654375,48,4,2,2,6394.0,1313.0,1,0.5,0.0,0.25,0.0,0,0,1,0,0,0,0,0,1,0,0.025935963
2771432,87,1,0,3,1794.2333,547.0,1,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.025966316
2717323,19,1,1,3,1654.4001,390.0,1,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.026129134
2745303,37,1,1,3,1290.3334,286.0,1,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.026210409
2740643,46,3,3,4,14726.06,2040.0,1,1.0,0.0,0.33333334,0.0,1,0,0,1,0,1,0,0,0,0,0.026224526
2724123,25,4,1,3,9531.4,1495.0,1,0.25,0.0,0.5,0.25,1,0,0,0,0,0,0,0,1,0,0.026261888
2716183,80,2,0,4,6781.4,2275.0,1,0.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0,1,0,0.026406204
2768955,55,1,1,2,2894.1333,433.3333,1,1.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0.026411597
2721003,74,2,0,3,16476.7,3380.0,1,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.027012426
2705804,57,1,1,3,3711.8333,281.6667,1,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0.027516875
2737303,54,3,1,4,4184.6665,433.3333,1,0.33333334,0.0,0.33333334,0.0,1,0,0,1,0,0,0,0,1,0,0.027665729
2713154,30,5,2,3,7998.967,1560.0,1,0.4,0.0,0.6,0.2,1,0,0,0,0,0,0,0,1,0,0.027835151
2676935,36,1,0,3,961.3333,173.3333,2,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.02786668
2668765,50,3,2,4,13626.834,2200.0,1,0.6666667,0.0,0.33333334,0.0,1,0,0,1,0,1,0,0,0,0,0.028035987
2682514,45,2,1,2,3475.75,715.0,1,0.5,0.0,0.5,0.0,1,0,1,0,1,0,0,0,0,0,0.028056031
2760972,53,1,1,3,3766.5,346.6667,1,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0.02815182
2723113,58,7,1,3,5489.95,1131.0,1,0.14285715,0.0,0.14285715,0.0,1,0,0,0,1,0,0,0,0,0,0.028202
2687604,45,6,3,2,10478.4,914.0,1,0.5,0.0,0.6666667,0.0,0,0,1,0,0,0,0,0,1,0,0.028270021
2756423,32,1,1,2,5153.0,635.0,1,1.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0.028278785
2708264,51,1,1,1,6441.5835,996.6667,1,1.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,0,0.028289605
2748342,43,5,1,1,21318.5,3210.0,1,0.2,0.0,0.6,0.0,1,1,0,0,0,0,0,0,1,180,0.028308323
2725503,57,2,1,1,76511.45,1906.6667,1,0.5,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,0,0.028483529
2779662,22,4,2,3,958.6666,173.3333,1,0.5,0.0,0.5,0.25,1,0,0,0,1,0,0,0,0,0,0.029584037
2767072,46,2,1,2,5193.5,680.0,1,0.5,0.0,0.5,0.0,1,0,1,0,0,0,0,0,1,0,0.029597858
2689334,82,2,0,3,2473.0,546.0,1,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.029643252
2664995,59,2,2,2,9027.167,1386.6667,1,1.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0.029730858
2660555,54,1,0,4,2713.6667,606.6667,2,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,1,0,0.029890804
2806895,24,2,2,4,3439.6665,353.0,1,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,1,0,0.02991338
2725203,24,1,1,4,5582.4,1076.6667,3,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,1,80,0.030289786
2657435,31,4,2,4,9706.6,1105.0,1,0.5,0.0,0.5,0.0,1,0,0,1,0,0,0,0,1,0,0.030428581
2719543,79,1,0,1,7051.7,1300.0,1,0.0,1.0,0.0,0.0,1,1,0,0,0,0,0,0,1,1980,0.030499248
2751292,35,6,2,4,13779.0,2860.0,1,0.33333334,0.0,0.6666667,0.16666667,1,0,0,1,0,0,0,0,1,0,0.030569995
2660025,57,1,1,2,2988.5,390.0,1,1.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,1,1200,0.030902714
2757032,28,1,1,3,10978.25,780.0,1,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.031120995
2694984,64,2,1,1,8201.399,1114.0,1,0.5,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,0,0.031147147
